iter	Passed	Remaining
0	2	251
1	4	228
2	7	235
3	9	222
4	11	215
5	13	210
6	15	209
7	18	207
8	20	203
9	22	198
10	24	195
11	26	193
12	28	190
13	30	187
14	32	185
15	34	183
16	37	182
17	40	182
18	41	178
19	44	176
20	46	173
21	48	170
22	50	168
23	52	165
24	54	163
25	56	161
26	58	159
27	61	156
28	63	154
29	65	152
30	67	149
31	69	147
32	71	145
33	73	143
34	75	140
35	78	138
36	80	136
37	82	134
38	84	132
39	86	130
40	89	128
41	90	124
42	91	121
43	94	119
44	96	117
45	98	115
46	100	113
47	102	110
48	104	108
49	106	106
50	108	104
51	110	102
52	112	100
53	115	98
54	116	95
55	118	93
56	120	90
57	122	88
58	124	86
59	126	84
60	129	82
61	131	80
62	133	78
63	135	76
64	138	74
65	140	72
66	142	70
67	144	68
68	146	66
69	149	63
70	151	61
71	153	59
72	155	57
73	157	55
74	159	53
75	161	51
76	164	49
77	166	46
78	168	44
79	170	42
80	172	40
81	174	38
82	176	36
83	178	34
84	180	31
85	183	29
86	185	27
87	187	25
88	189	23
89	191	21
90	193	19
91	195	17
92	197	14
93	199	12
94	202	10
95	204	8
96	206	6
97	208	4
98	210	2
99	212	0
